Group Starts,Avg - Delay (Peace Arch)
2019-02-20 00:00:00,
2019-02-20 01:00:00,
2019-02-20 02:00:00,
2019-02-20 03:00:00,
2019-02-20 04:00:00,
2019-02-20 05:00:00,
2019-02-20 06:00:00,
2019-02-20 07:00:00,
2019-02-20 08:00:00,
2019-02-20 09:00:00,
2019-02-20 10:00:00,1.6
2019-02-20 11:00:00,3.7
2019-02-20 12:00:00,1.8
2019-02-20 13:00:00,2.1
2019-02-20 14:00:00,2.6
2019-02-20 15:00:00,0.3
2019-02-20 16:00:00,5.6
2019-02-20 17:00:00,0.8
2019-02-20 18:00:00,0.9
2019-02-20 19:00:00,0.8
2019-02-20 20:00:00,0.4
2019-02-20 21:00:00,0.1
2019-02-20 22:00:00,0.0
2019-02-20 23:00:00,0.0
